  135.354418     0.386403 1
  135.374852     0.876658 1
  135.395287     3.037489 1
  135.415721     2.354907 1
  135.436156    -1.242004 1
  135.456591    -5.636713 1
  135.477025    -0.706156 1
  135.497459     0.195895 1
  135.517894    -0.040788 1
  135.538329     0.019817 1
  135.558763    -0.707831 1
  135.579198    -0.662245 1
  135.599632     4.002331 1
  135.620067    -3.864537 1
  135.640501     6.542744 1
  135.660936    -1.793266 1
  135.681371     0.966128 1
  135.701805     6.331628 1
  135.722240    -4.392320 1
  135.742674     7.146829 1
  135.763109    -3.065730 1
  135.783543     2.989794 1
  135.803978     1.585637 1
  135.824412    -0.718598 1
  135.844847     7.359335 1
  135.865281     1.645729 1
  135.885716    -2.694594 1
  135.906150     3.197239 1
  135.926585     4.461886 1
  135.947019     0.780230 1
  135.967454    -0.820359 1
  135.987889     2.258047 1
  136.008323    -6.262186 1
  136.028758     2.872590 1
  136.049192     2.527985 1
  136.069627    -5.422222 1
  136.090061     3.307507 1
  136.110496    -2.538456 1
  136.130930    -1.547979 1
  136.151365     3.123233 1
  136.171799     0.199757 1
  136.192234    -1.249519 1
  136.212668     4.608136 1
  136.233103    -1.338775 1
  136.253538     2.695546 1
  136.273972    -0.272958 1
  136.294407    -0.121223 1
  136.314841    -0.067682 1
  136.335276    -0.443723 1
  136.355710     0.253496 1
  136.376145     0.834793 1
  136.396579     1.098335 1
  136.417014    -4.112192 1
  136.437448    -0.075181 1
  136.457883    -0.183950 1
  136.478318     1.669718 1
  136.498752    -4.450404 1
  136.519186     2.256854 1
  136.539621    -2.620870 1
  136.560056    -6.820800 1
  136.580490     4.831434 1
  136.600925    -8.527363 1
  136.621359     0.337409 1
  136.641794     5.870572 1
  136.662228    -0.953125 1
  136.682663     0.604757 1
  136.703097     1.281676 1
  136.723532    -4.416888 1
  136.743966     0.703137 1
  136.764401    -5.905014 1
  136.784836    -4.162950 1
  136.805270    -5.909326 1
  136.825705     2.448285 1
  136.846139    -2.005090 1
  136.866574    -5.780668 1
  136.887008     4.817620 1
  136.907443    -1.411301 1
  136.927877    -0.649659 1
  136.948312    -4.223340 1
  136.968746     1.944210 1
  136.989181    -2.810440 1
  137.009615    -0.510432 1
  137.030050    -7.614779 1
  137.050485     5.615661 1
